pas_faehrverkehr_absolut,pas_ausflugsverkehr_absolut,pas_kreuzfahrt_absolut,Datum
4448.605479452055,159.21917808219177,970.0,2014-04-12
4448.605479452055,159.21917808219177,970.0,2014-04-13
4448.605479452055,159.21917808219177,970.0,2014-04-14
4448.605479452055,159.21917808219177,970.0,2014-04-15
4448.605479452055,159.21917808219177,970.0,2014-04-16
4448.605479452055,159.21917808219177,970.0,2014-04-17
4448.605479452055,159.21917808219177,970.0,2014-04-18
4448.605479452055,159.21917808219177,970.0,2014-04-19
4448.605479452055,159.21917808219177,970.0,2014-04-20
4448.605479452055,159.21917808219177,970.0,2014-04-21
4448.605479452055,159.21917808219177,970.0,2014-04-22
4448.605479452055,159.21917808219177,970.0,2014-04-23
4448.605479452055,159.21917808219177,970.0,2014-04-24
4448.605479452055,159.21917808219177,970.0,2014-04-25
4448.605479452055,159.21917808219177,970.0,2014-04-26
4448.605479452055,159.21917808219177,970.0,2014-04-27
4448.605479452055,159.21917808219177,970.0,2014-04-28
4448.605479452055,159.21917808219177,970.0,2014-04-29
4448.605479452055,159.21917808219177,970.0,2014-04-30
4448.605479452055,159.21917808219177,970.0,2014-05-01
4448.605479452055,159.21917808219177,970.0,2014-05-02
4448.605479452055,159.21917808219177,970.0,2014-05-03
4448.605479452055,159.21917808219177,970.0,2014-05-04
4448.605479452055,159.21917808219177,970.0,2014-05-05
4448.605479452055,159.21917808219177,970.0,2014-05-06
4448.605479452055,159.21917808219177,970.0,2014-05-07
4448.605479452055,159.21917808219177,970.0,2014-05-08
4448.605479452055,159.21917808219177,970.0,2014-05-09
4448.605479452055,159.21917808219177,970.0,2014-05-10
4448.605479452055,159.21917808219177,970.0,2014-05-11
4448.605479452055,159.21917808219177,970.0,2014-05-12
4448.605479452055,159.21917808219177,970.0,2014-05-13
4448.605479452055,159.21917808219177,970.0,2014-05-14
4448.605479452055,159.21917808219177,970.0,2014-05-15
4448.605479452055,159.21917808219177,970.0,2014-05-16
4448.605479452055,159.21917808219177,970.0,2014-05-17
4448.605479452055,159.21917808219177,970.0,2014-05-18
4448.605479452055,159.21917808219177,970.0,2014-05-19
4448.605479452055,159.21917808219177,970.0,2014-05-20
4448.605479452055,159.21917808219177,970.0,2014-05-21
4448.605479452055,159.21917808219177,970.0,2014-05-22
4448.605479452055,159.21917808219177,970.0,2014-05-23
4448.605479452055,159.21917808219177,970.0,2014-05-24
4448.605479452055,159.21917808219177,970.0,2014-05-25
4448.605479452055,159.21917808219177,970.0,2014-05-26
